Timestamp,moradorOuSeguranca,casaOuPredios,cidadeCasas,qntdCasas,1a5seguroCasas,1a5segurancaCasas,problemas,problemasDescricaoCasas,temCamerasCasas,camerasSuficientesCasas,moraComDependenteCasas,dependenteTransitaSoCasas,preocupadoDependenteAndarSoCasas,avisadoDependenteSoCasas,cidadePredios,qntdBlocosPredios,andaresPredios,1a5seguroPredios,1a5segurancaPredios,problemasPredios,descricaoPredios,temCamerasPredios,camerasSuficientesPredios,"MoraComDependentesPredios
distúrbios)",dependenteTansitaSoPredios,"PreocupadoDependenteAndarSoPredios
acompanhamento?",avisadoDependenteSoPredios,trabalhaCasaPredio,cidadeTrabalhaPredio,seguranca1a5trabalhaPredio,controleDeAcessoPredios,temCameraTrabalhaPredios,"CamerasSuficientesTrabalhaPredios
comuns?",problemasTrabalhaPredio,descricaoTrabalhaPredio,cidadeTrabalhaCasas,1a5segurancaTrabalhaCasas,Qual controle de acesso seu condomínio possui?,temCamerasTrabalhaCasas,camerasSuficientesCasas,problemasTrabalhaCasa,descricaoProblemaTrabalhaCasa
10/21/2024 13:07:24,Morador,Moro em um condomínio de Casas,Arapiraca,Mais de 10 quadras,3,3,Não,,Não,Não,Não,Não,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:07:52,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Belo Horizonte ,Até 6 blocos,Mais de 8 andares,3,3,Sim,Roubo ,Sim,Não,Não,Não,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:08:01,Morador,Moro em um condomínio de Casas,Araxa Mg,Mais de 10 quadras,3,3,Não,,Sim,Não,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:08:05,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Nossa senhora do socorro ,Mais de 11 blocos,De 3-8 andares,3,3,Não,,Sim,Não,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:08:09,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Salvador ,De 6 a 11 blocos,Mais de 8 andares,4,3,Não,,Sim,Não,Não,,Sim,Não,,,,,,,,,,,,,,,
10/21/2024 13:08:17,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Curitiba,De 6 a 11 blocos,De 3-8 andares,1,1,Sim,Entrada de pessoas que não moram e nem tem parentes,Sim,Não,Sim,Não,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:08:32,Morador,Moro em um condomínio de Casas,Indaiatuba,Mais de 10 quadras,4,3,Não,,Sim,Não,Sim,Sim,Não,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:08:34,Morador,Moro em um condomínio de Casas,Santana de Parnaíba ,Mais de 10 quadras,5,5,Não,,Sim,Sim,Não,,Não,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:08:45,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Santa Cruz do Sul,Até 6 blocos,De 3-8 andares,5,5,Não,,Sim,Não,Não,,,Sim,,,,,,,,,,,,,,,
10/21/2024 13:08:48,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,31,Mais de 11 blocos,De 3-8 andares,3,3,Não,,Sim,Sim,Não,Sim,Não,Sim,,,,,,,,,,,,,,,
10/21/2024 13:08:51,Morador,Moro em um condomínio de Casas,37,Mais de 10 quadras,3,3,Não,,Não,Não,Sim,Não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:08:58,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Fortaleza ,Até 6 blocos,Mais de 8 andares,5,5,Não,,Sim,Sim,Não,,,Sim,,,,,,,,,,,,,,,
